health_statement,label,source_type
Skipping meals is the healthiest way to lose weight,false,news
Physical activity helps control body weight,true,blog
Insulin regulates blood sugar levels,true,tweet
Insulin regulates blood sugar levels,true,forum
Regular exercise helps reduce the risk of heart disease,true,tweet
All cancers are caused by mobile phone radiation,false,news
Mental illness is caused by evil spirits,false,news
Homeopathy can replace all modern medicines,false,tweet
Vaccination reduces the spread of infectious diseases,true,news
Insulin regulates blood sugar levels,true,news
Handwashing reduces the spread of infectious diseases,true,forum
Proper hydration helps maintain body temperature,true,blog
Adequate sleep improves mental and physical health,true,blog
Vaccines cause autism,false,forum
Physical activity helps control body weight,true,blog
Vaccination reduces the spread of infectious diseases,true,news
Adequate sleep improves mental and physical health,true,tweet
Regular exercise helps reduce the risk of heart disease,true,tweet
Wearing glasses permanently weakens eyesight,false,comment
Physical activity helps control body weight,true,comment
Handwashing reduces the spread of infectious diseases,true,blog
Early cancer screening improves survival rates,true,tweet
Drinking alcohol improves immunity,false,tweet
Vaccines help the immune system recognize and fight infections,true,comment
Physical activity helps control body weight,true,comment
Cancer can be cured only through faith healing,false,comment
High blood pressure increases the risk of stroke,true,forum
Vaccination reduces the spread of infectious diseases,true,blog
Antibiotics are effective against bacterial infections,true,blog
Insulin regulates blood sugar levels,true,tweet
Vaccination reduces the spread of infectious diseases,true,news
A balanced diet improves overall immune health,true,forum
Antibiotics can cure viral infections like flu,false,forum
A balanced diet improves overall immune health,true,news
Mental health therapy can reduce anxiety and depression,true,forum
Drinking bleach can kill viruses inside the body,false,comment
Drinking enough water supports kidney function,true,blog
Cancer can be cured only through faith healing,false,comment
Antibiotics can cure viral infections like flu,false,tweet
Cancer can be cured only through faith healing,false,comment
You do not need sleep if you meditate daily,false,tweet
Wearing glasses permanently weakens eyesight,false,blog
Antibiotics are effective against bacterial infections,true,blog
Early cancer screening improves survival rates,true,blog
Cancer can be cured only through faith healing,false,comment
Drinking alcohol improves immunity,false,blog
Diabetes can be permanently cured by herbal tea,false,comment
Fasting alone can cure chronic diseases,false,news
Regular exercise helps reduce the risk of heart disease,true,blog
Drinking enough water supports kidney function,true,forum
Wearing glasses permanently weakens eyesight,false,comment
Skipping meals is the healthiest way to lose weight,false,comment
Drinking alcohol improves immunity,false,blog
Mental illness is caused by evil spirits,false,comment
Skipping meals is the healthiest way to lose weight,false,blog
Wearing glasses permanently weakens eyesight,false,blog
Wearing glasses permanently weakens eyesight,false,forum
All cancers are caused by mobile phone radiation,false,blog
Mental illness is caused by evil spirits,false,news
Drinking alcohol improves immunity,false,forum
Smoking increases the risk of lung cancer,true,comment
Drinking alcohol improves immunity,false,tweet
You do not need sleep if you meditate daily,false,blog
Skipping meals is the healthiest way to lose weight,false,news
Mental health therapy can reduce anxiety and depression,true,news
Regular exercise helps reduce the risk of heart disease,true,tweet
Homeopathy can replace all modern medicines,false,forum
All cancers are caused by mobile phone radiation,false,tweet
Fasting alone can cure chronic diseases,false,forum
Proper hydration helps maintain body temperature,true,forum
Vaccines help the immune system recognize and fight infections,true,tweet
All cancers are caused by mobile phone radiation,false,forum
Early cancer screening improves survival rates,true,news
Mental health therapy can reduce anxiety and depression,true,news
Smoking increases the risk of lung cancer,true,tweet
Diabetes can be permanently cured by herbal tea,false,blog
Proper hydration helps maintain body temperature,true,forum
Handwashing reduces the spread of infectious diseases,true,forum
Garlic can completely cure COVID-19,false,comment
Insulin regulates blood sugar levels,true,news
Antibiotics can cure viral infections like flu,false,blog
Drinking enough water supports kidney function,true,blog
Vaccines cause autism,false,tweet
Drinking bleach can kill viruses inside the body,false,blog
Drinking enough water supports kidney function,true,forum
Diabetes can be permanently cured by herbal tea,false,news
All cancers are caused by mobile phone radiation,false,tweet
Antibiotics can cure viral infections like flu,false,blog
Drinking enough water supports kidney function,true,blog
Vaccination reduces the spread of infectious diseases,true,tweet
Antibiotics can cure viral infections like flu,false,blog
Drinking alcohol improves immunity,false,news
Physical activity helps control body weight,true,tweet
Smoking increases the risk of lung cancer,true,news
Mental illness is caused by evil spirits,false,blog
Vaccines cause autism,false,tweet
Vaccines cause autism,false,forum
Diabetes can be permanently cured by herbal tea,false,tweet
Proper hydration helps maintain body temperature,true,forum
Mental health therapy can reduce anxiety and depression,true,forum
Proper hydration helps maintain body temperature,true,blog
Garlic can completely cure COVID-19,false,blog
Garlic can completely cure COVID-19,false,comment
You do not need sleep if you meditate daily,false,news
Adequate sleep improves mental and physical health,true,comment
Vaccination reduces the spread of infectious diseases,true,news
Antibiotics are effective against bacterial infections,true,blog
Cancer can be cured only through faith healing,false,comment
Mental illness is caused by evil spirits,false,comment
Detox drinks can remove all toxins instantly,false,news
Garlic can completely cure COVID-19,false,blog
Adequate sleep improves mental and physical health,true,news
Homeopathy can replace all modern medicines,false,comment
Garlic can completely cure COVID-19,false,tweet
Detox drinks can remove all toxins instantly,false,blog
Vaccination reduces the spread of infectious diseases,true,news
Proper hydration helps maintain body temperature,true,news
Drinking alcohol improves immunity,false,comment
Mental illness is caused by evil spirits,false,blog
Drinking enough water supports kidney function,true,news
Wearing glasses permanently weakens eyesight,false,blog
Physical activity helps control body weight,true,tweet
Detox drinks can remove all toxins instantly,false,blog
High blood pressure increases the risk of stroke,true,tweet
You do not need sleep if you meditate daily,false,blog
Adequate sleep improves mental and physical health,true,forum
Mental illness is caused by evil spirits,false,forum
Adequate sleep improves mental and physical health,true,news
All cancers are caused by mobile phone radiation,false,comment
A balanced diet improves overall immune health,true,forum
Vaccines help the immune system recognize and fight infections,true,forum
Regular exercise helps reduce the risk of heart disease,true,tweet
Cancer can be cured only through faith healing,false,forum
Homeopathy can replace all modern medicines,false,tweet
Vaccination reduces the spread of infectious diseases,true,forum
Wearing glasses permanently weakens eyesight,false,comment
Drinking alcohol improves immunity,false,forum
Skipping meals is the healthiest way to lose weight,false,tweet
Proper hydration helps maintain body temperature,true,blog
Proper hydration helps maintain body temperature,true,tweet
Adequate sleep improves mental and physical health,true,tweet
Detox drinks can remove all toxins instantly,false,blog
High blood pressure increases the risk of stroke,true,news
Fasting alone can cure chronic diseases,false,forum
Insulin regulates blood sugar levels,true,blog
Drinking bleach can kill viruses inside the body,false,news
Homeopathy can replace all modern medicines,false,blog
Early cancer screening improves survival rates,true,tweet
Drinking alcohol improves immunity,false,tweet
Cancer can be cured only through faith healing,false,tweet
Drinking enough water supports kidney function,true,forum
Vaccination reduces the spread of infectious diseases,true,tweet
Detox drinks can remove all toxins instantly,false,blog
Garlic can completely cure COVID-19,false,forum
Mental health therapy can reduce anxiety and depression,true,comment
Regular exercise helps reduce the risk of heart disease,true,forum
Adequate sleep improves mental and physical health,true,forum
Adequate sleep improves mental and physical health,true,forum
Vaccination reduces the spread of infectious diseases,true,blog
Drinking bleach can kill viruses inside the body,false,comment
Diabetes can be permanently cured by herbal tea,false,tweet
You do not need sleep if you meditate daily,false,news
Regular exercise helps reduce the risk of heart disease,true,blog
Vaccines help the immune system recognize and fight infections,true,blog
Proper hydration helps maintain body temperature,true,news
High blood pressure increases the risk of stroke,true,comment
Fasting alone can cure chronic diseases,false,forum
Adequate sleep improves mental and physical health,true,comment
Vaccines help the immune system recognize and fight infections,true,blog
Early cancer screening improves survival rates,true,tweet
Smoking increases the risk of lung cancer,true,blog
Early cancer screening improves survival rates,true,forum
High blood pressure increases the risk of stroke,true,news
Garlic can completely cure COVID-19,false,comment
Early cancer screening improves survival rates,true,forum
Early cancer screening improves survival rates,true,blog
Vaccination reduces the spread of infectious diseases,true,forum
Cancer can be cured only through faith healing,false,comment
Drinking bleach can kill viruses inside the body,false,blog
Antibiotics are effective against bacterial infections,true,comment
A balanced diet improves overall immune health,true,comment
High blood pressure increases the risk of stroke,true,tweet
All cancers are caused by mobile phone radiation,false,blog
Handwashing reduces the spread of infectious diseases,true,forum
A balanced diet improves overall immune health,true,forum
Skipping meals is the healthiest way to lose weight,false,comment
Vaccines help the immune system recognize and fight infections,true,blog
You do not need sleep if you meditate daily,false,comment
You do not need sleep if you meditate daily,false,forum
Handwashing reduces the spread of infectious diseases,true,news
All cancers are caused by mobile phone radiation,false,news
Drinking alcohol improves immunity,false,comment
Smoking increases the risk of lung cancer,true,tweet
Handwashing reduces the spread of infectious diseases,true,forum
Regular exercise helps reduce the risk of heart disease,true,comment
All cancers are caused by mobile phone radiation,false,comment
Early cancer screening improves survival rates,true,blog
All cancers are caused by mobile phone radiation,false,news
Handwashing reduces the spread of infectious diseases,true,forum
Insulin regulates blood sugar levels,true,tweet
Handwashing reduces the spread of infectious diseases,true,tweet
You do not need sleep if you meditate daily,false,forum
Proper hydration helps maintain body temperature,true,blog
Mental health therapy can reduce anxiety and depression,true,forum
All cancers are caused by mobile phone radiation,false,forum
Early cancer screening improves survival rates,true,blog
High blood pressure increases the risk of stroke,true,tweet
A balanced diet improves overall immune health,true,news
Detox drinks can remove all toxins instantly,false,news
Smoking increases the risk of lung cancer,true,tweet
Regular exercise helps reduce the risk of heart disease,true,blog
Antibiotics are effective against bacterial infections,true,blog
Homeopathy can replace all modern medicines,false,comment
Regular exercise helps reduce the risk of heart disease,true,comment
You do not need sleep if you meditate daily,false,comment
Cancer can be cured only through faith healing,false,blog
Vaccines cause autism,false,tweet
Mental illness is caused by evil spirits,false,comment
High blood pressure increases the risk of stroke,true,forum
Smoking increases the risk of lung cancer,true,forum
All cancers are caused by mobile phone radiation,false,blog
Antibiotics can cure viral infections like flu,false,news
Vaccination reduces the spread of infectious diseases,true,blog
Antibiotics can cure viral infections like flu,false,forum
Insulin regulates blood sugar levels,true,blog
Antibiotics are effective against bacterial infections,true,news
High blood pressure increases the risk of stroke,true,comment
Detox drinks can remove all toxins instantly,false,comment
Antibiotics can cure viral infections like flu,false,news
Vaccines cause autism,false,comment
Diabetes can be permanently cured by herbal tea,false,blog
Cancer can be cured only through faith healing,false,blog
Drinking enough water supports kidney function,true,comment
You do not need sleep if you meditate daily,false,blog
Physical activity helps control body weight,true,forum
Adequate sleep improves mental and physical health,true,tweet
Proper hydration helps maintain body temperature,true,news
Mental health therapy can reduce anxiety and depression,true,forum
Wearing glasses permanently weakens eyesight,false,forum
Diabetes can be permanently cured by herbal tea,false,tweet
Mental illness is caused by evil spirits,false,news
Early cancer screening improves survival rates,true,comment
Homeopathy can replace all modern medicines,false,tweet
Regular exercise helps reduce the risk of heart disease,true,tweet
Insulin regulates blood sugar levels,true,news
Vaccines help the immune system recognize and fight infections,true,news
High blood pressure increases the risk of stroke,true,blog
Regular exercise helps reduce the risk of heart disease,true,tweet
Wearing glasses permanently weakens eyesight,false,news
Vaccination reduces the spread of infectious diseases,true,comment
All cancers are caused by mobile phone radiation,false,comment
Garlic can completely cure COVID-19,false,forum
High blood pressure increases the risk of stroke,true,comment
Early cancer screening improves survival rates,true,forum
Cancer can be cured only through faith healing,false,tweet
All cancers are caused by mobile phone radiation,false,tweet
Drinking bleach can kill viruses inside the body,false,blog
Drinking alcohol improves immunity,false,news
Mental health therapy can reduce anxiety and depression,true,comment
Smoking increases the risk of lung cancer,true,tweet
Fasting alone can cure chronic diseases,false,comment
All cancers are caused by mobile phone radiation,false,forum
A balanced diet improves overall immune health,true,comment
Vaccination reduces the spread of infectious diseases,true,forum
Mental illness is caused by evil spirits,false,comment
Insulin regulates blood sugar levels,true,comment
Antibiotics can cure viral infections like flu,false,news
Proper hydration helps maintain body temperature,true,news
Antibiotics are effective against bacterial infections,true,blog
Handwashing reduces the spread of infectious diseases,true,news
High blood pressure increases the risk of stroke,true,forum
Insulin regulates blood sugar levels,true,comment
Garlic can completely cure COVID-19,false,blog
Smoking increases the risk of lung cancer,true,tweet
Handwashing reduces the spread of infectious diseases,true,forum
Drinking alcohol improves immunity,false,comment
Smoking increases the risk of lung cancer,true,comment
Insulin regulates blood sugar levels,true,blog
Insulin regulates blood sugar levels,true,news
Homeopathy can replace all modern medicines,false,tweet
You do not need sleep if you meditate daily,false,blog
Drinking alcohol improves immunity,false,blog
Vaccines help the immune system recognize and fight infections,true,blog
Vaccines help the immune system recognize and fight infections,true,forum
Smoking increases the risk of lung cancer,true,comment
Diabetes can be permanently cured by herbal tea,false,comment
Skipping meals is the healthiest way to lose weight,false,forum
A balanced diet improves overall immune health,true,comment
A balanced diet improves overall immune health,true,comment
Homeopathy can replace all modern medicines,false,forum
Detox drinks can remove all toxins instantly,false,blog
Homeopathy can replace all modern medicines,false,comment
Antibiotics can cure viral infections like flu,false,tweet
Adequate sleep improves mental and physical health,true,comment
Proper hydration helps maintain body temperature,true,blog
Adequate sleep improves mental and physical health,true,news
Detox drinks can remove all toxins instantly,false,blog
Regular exercise helps reduce the risk of heart disease,true,tweet
Physical activity helps control body weight,true,forum
Insulin regulates blood sugar levels,true,news
Insulin regulates blood sugar levels,true,blog
Detox drinks can remove all toxins instantly,false,forum
Vaccines cause autism,false,blog
Vaccines help the immune system recognize and fight infections,true,blog
Proper hydration helps maintain body temperature,true,blog
Mental illness is caused by evil spirits,false,forum
Handwashing reduces the spread of infectious diseases,true,tweet
Insulin regulates blood sugar levels,true,blog
Skipping meals is the healthiest way to lose weight,false,comment
Mental illness is caused by evil spirits,false,news
Smoking increases the risk of lung cancer,true,comment
Vaccines cause autism,false,news
Physical activity helps control body weight,true,news
Mental illness is caused by evil spirits,false,forum
Homeopathy can replace all modern medicines,false,forum
Regular exercise helps reduce the risk of heart disease,true,tweet
Insulin regulates blood sugar levels,true,news
Adequate sleep improves mental and physical health,true,blog
Adequate sleep improves mental and physical health,true,tweet
Vaccines cause autism,false,forum
Adequate sleep improves mental and physical health,true,blog
Garlic can completely cure COVID-19,false,blog
Fasting alone can cure chronic diseases,false,forum
Adequate sleep improves mental and physical health,true,forum
Vaccination reduces the spread of infectious diseases,true,blog
Fasting alone can cure chronic diseases,false,tweet
Regular exercise helps reduce the risk of heart disease,true,news
Fasting alone can cure chronic diseases,false,blog
All cancers are caused by mobile phone radiation,false,blog
Vaccines cause autism,false,blog
Fasting alone can cure chronic diseases,false,tweet
Diabetes can be permanently cured by herbal tea,false,blog
Regular exercise helps reduce the risk of heart disease,true,blog
Physical activity helps control body weight,true,blog
Antibiotics are effective against bacterial infections,true,tweet
Diabetes can be permanently cured by herbal tea,false,blog
Regular exercise helps reduce the risk of heart disease,true,tweet
Antibiotics are effective against bacterial infections,true,forum
Cancer can be cured only through faith healing,false,news
Antibiotics are effective against bacterial infections,true,blog
Mental health therapy can reduce anxiety and depression,true,comment
Antibiotics can cure viral infections like flu,false,comment
Adequate sleep improves mental and physical health,true,comment
Drinking alcohol improves immunity,false,news
Antibiotics are effective against bacterial infections,true,blog
Drinking bleach can kill viruses inside the body,false,tweet
Early cancer screening improves survival rates,true,forum
All cancers are caused by mobile phone radiation,false,comment
Insulin regulates blood sugar levels,true,comment
Homeopathy can replace all modern medicines,false,news
Drinking alcohol improves immunity,false,blog
High blood pressure increases the risk of stroke,true,forum
Fasting alone can cure chronic diseases,false,comment
Early cancer screening improves survival rates,true,blog
Vaccination reduces the spread of infectious diseases,true,news
Adequate sleep improves mental and physical health,true,tweet
Vaccines help the immune system recognize and fight infections,true,tweet
Homeopathy can replace all modern medicines,false,tweet
Mental health therapy can reduce anxiety and depression,true,forum
Proper hydration helps maintain body temperature,true,forum
Skipping meals is the healthiest way to lose weight,false,tweet
You do not need sleep if you meditate daily,false,forum
Diabetes can be permanently cured by herbal tea,false,forum
Vaccines help the immune system recognize and fight infections,true,comment
Mental illness is caused by evil spirits,false,tweet
Handwashing reduces the spread of infectious diseases,true,comment
Physical activity helps control body weight,true,tweet
Garlic can completely cure COVID-19,false,forum
Skipping meals is the healthiest way to lose weight,false,forum
Antibiotics are effective against bacterial infections,true,news
Mental health therapy can reduce anxiety and depression,true,comment
Smoking increases the risk of lung cancer,true,news
Early cancer screening improves survival rates,true,blog
Vaccines cause autism,false,blog
Drinking bleach can kill viruses inside the body,false,forum
Skipping meals is the healthiest way to lose weight,false,blog
All cancers are caused by mobile phone radiation,false,tweet
Skipping meals is the healthiest way to lose weight,false,comment
You do not need sleep if you meditate daily,false,blog
Cancer can be cured only through faith healing,false,news
Cancer can be cured only through faith healing,false,forum
Diabetes can be permanently cured by herbal tea,false,tweet
Vaccines help the immune system recognize and fight infections,true,blog
Fasting alone can cure chronic diseases,false,tweet
Drinking bleach can kill viruses inside the body,false,forum
Garlic can completely cure COVID-19,false,comment
Detox drinks can remove all toxins instantly,false,tweet
Handwashing reduces the spread of infectious diseases,true,comment
Physical activity helps control body weight,true,tweet
Physical activity helps control body weight,true,news
Drinking bleach can kill viruses inside the body,false,blog
Cancer can be cured only through faith healing,false,forum
Mental health therapy can reduce anxiety and depression,true,tweet
Drinking bleach can kill viruses inside the body,false,comment
Wearing glasses permanently weakens eyesight,false,news
All cancers are caused by mobile phone radiation,false,tweet
Regular exercise helps reduce the risk of heart disease,true,comment
Homeopathy can replace all modern medicines,false,comment
Handwashing reduces the spread of infectious diseases,true,blog
A balanced diet improves overall immune health,true,forum
Vaccination reduces the spread of infectious diseases,true,blog
Smoking increases the risk of lung cancer,true,comment
Regular exercise helps reduce the risk of heart disease,true,blog
Diabetes can be permanently cured by herbal tea,false,forum
Antibiotics are effective against bacterial infections,true,comment
Cancer can be cured only through faith healing,false,news
Smoking increases the risk of lung cancer,true,forum
Mental health therapy can reduce anxiety and depression,true,forum
Proper hydration helps maintain body temperature,true,comment
Detox drinks can remove all toxins instantly,false,blog
You do not need sleep if you meditate daily,false,tweet
Vaccines cause autism,false,news
Smoking increases the risk of lung cancer,true,tweet
Drinking bleach can kill viruses inside the body,false,comment
Vaccination reduces the spread of infectious diseases,true,comment
Vaccination reduces the spread of infectious diseases,true,forum
Adequate sleep improves mental and physical health,true,forum
Handwashing reduces the spread of infectious diseases,true,tweet
Insulin regulates blood sugar levels,true,news
A balanced diet improves overall immune health,true,forum
Garlic can completely cure COVID-19,false,blog
Mental illness is caused by evil spirits,false,news
Drinking enough water supports kidney function,true,tweet
Vaccination reduces the spread of infectious diseases,true,tweet
Adequate sleep improves mental and physical health,true,forum
Physical activity helps control body weight,true,forum
Early cancer screening improves survival rates,true,blog
Insulin regulates blood sugar levels,true,comment
Adequate sleep improves mental and physical health,true,forum
Vaccines cause autism,false,blog
You do not need sleep if you meditate daily,false,forum
Skipping meals is the healthiest way to lose weight,false,tweet
Physical activity helps control body weight,true,forum
Drinking alcohol improves immunity,false,comment
Proper hydration helps maintain body temperature,true,forum
Smoking increases the risk of lung cancer,true,tweet
Diabetes can be permanently cured by herbal tea,false,forum
You do not need sleep if you meditate daily,false,news
Antibiotics can cure viral infections like flu,false,news
Cancer can be cured only through faith healing,false,comment
Drinking bleach can kill viruses inside the body,false,tweet
Drinking enough water supports kidney function,true,comment
Fasting alone can cure chronic diseases,false,news
Vaccination reduces the spread of infectious diseases,true,comment
You do not need sleep if you meditate daily,false,news
Homeopathy can replace all modern medicines,false,blog
A balanced diet improves overall immune health,true,forum
All cancers are caused by mobile phone radiation,false,news
Detox drinks can remove all toxins instantly,false,tweet
Fasting alone can cure chronic diseases,false,blog
Adequate sleep improves mental and physical health,true,forum
Garlic can completely cure COVID-19,false,forum
Antibiotics are effective against bacterial infections,true,news
Garlic can completely cure COVID-19,false,forum
Diabetes can be permanently cured by herbal tea,false,forum
Drinking bleach can kill viruses inside the body,false,blog
Homeopathy can replace all modern medicines,false,blog
You do not need sleep if you meditate daily,false,comment
Cancer can be cured only through faith healing,false,news
Early cancer screening improves survival rates,true,forum
Mental illness is caused by evil spirits,false,comment
Physical activity helps control body weight,true,blog
Diabetes can be permanently cured by herbal tea,false,comment
Physical activity helps control body weight,true,forum
Adequate sleep improves mental and physical health,true,news
Physical activity helps control body weight,true,forum
Drinking bleach can kill viruses inside the body,false,news
You do not need sleep if you meditate daily,false,comment
Detox drinks can remove all toxins instantly,false,news
Wearing glasses permanently weakens eyesight,false,tweet
Garlic can completely cure COVID-19,false,tweet
Homeopathy can replace all modern medicines,false,tweet
Fasting alone can cure chronic diseases,false,blog
Drinking enough water supports kidney function,true,comment
Antibiotics are effective against bacterial infections,true,forum
Skipping meals is the healthiest way to lose weight,false,comment
Skipping meals is the healthiest way to lose weight,false,blog
A balanced diet improves overall immune health,true,blog
Antibiotics can cure viral infections like flu,false,tweet
Diabetes can be permanently cured by herbal tea,false,forum
Garlic can completely cure COVID-19,false,news
Skipping meals is the healthiest way to lose weight,false,comment
Cancer can be cured only through faith healing,false,forum
Regular exercise helps reduce the risk of heart disease,true,blog
High blood pressure increases the risk of stroke,true,forum
Drinking bleach can kill viruses inside the body,false,tweet
Proper hydration helps maintain body temperature,true,comment
Homeopathy can replace all modern medicines,false,tweet
Drinking alcohol improves immunity,false,tweet
Antibiotics can cure viral infections like flu,false,comment
Insulin regulates blood sugar levels,true,tweet
Detox drinks can remove all toxins instantly,false,forum
Handwashing reduces the spread of infectious diseases,true,comment
Vaccines cause autism,false,forum
Adequate sleep improves mental and physical health,true,tweet
You do not need sleep if you meditate daily,false,news
Diabetes can be permanently cured by herbal tea,false,blog
Drinking enough water supports kidney function,true,news
High blood pressure increases the risk of stroke,true,tweet
Fasting alone can cure chronic diseases,false,blog
Cancer can be cured only through faith healing,false,comment
Early cancer screening improves survival rates,true,forum
Early cancer screening improves survival rates,true,blog
Cancer can be cured only through faith healing,false,tweet
Drinking alcohol improves immunity,false,forum
Physical activity helps control body weight,true,tweet
Skipping meals is the healthiest way to lose weight,false,forum
Physical activity helps control body weight,true,forum
Smoking increases the risk of lung cancer,true,news
Drinking enough water supports kidney function,true,news
High blood pressure increases the risk of stroke,true,tweet
Fasting alone can cure chronic diseases,false,comment
Handwashing reduces the spread of infectious diseases,true,blog
Diabetes can be permanently cured by herbal tea,false,comment
Vaccines cause autism,false,blog
Wearing glasses permanently weakens eyesight,false,blog
Handwashing reduces the spread of infectious diseases,true,blog
Mental illness is caused by evil spirits,false,comment
Detox drinks can remove all toxins instantly,false,comment
Drinking bleach can kill viruses inside the body,false,tweet
Smoking increases the risk of lung cancer,true,blog
Garlic can completely cure COVID-19,false,comment
Adequate sleep improves mental and physical health,true,comment
Vaccination reduces the spread of infectious diseases,true,comment
Fasting alone can cure chronic diseases,false,comment
Vaccines help the immune system recognize and fight infections,true,comment
Mental health therapy can reduce anxiety and depression,true,news
Proper hydration helps maintain body temperature,true,comment
Proper hydration helps maintain body temperature,true,blog
Early cancer screening improves survival rates,true,blog
A balanced diet improves overall immune health,true,tweet
Skipping meals is the healthiest way to lose weight,false,news
Mental health therapy can reduce anxiety and depression,true,forum
Garlic can completely cure COVID-19,false,comment
Detox drinks can remove all toxins instantly,false,news
Diabetes can be permanently cured by herbal tea,false,forum
Early cancer screening improves survival rates,true,comment
A balanced diet improves overall immune health,true,blog
Handwashing reduces the spread of infectious diseases,true,tweet
Vaccines help the immune system recognize and fight infections,true,tweet
High blood pressure increases the risk of stroke,true,blog
Antibiotics are effective against bacterial infections,true,comment
A balanced diet improves overall immune health,true,tweet
Mental illness is caused by evil spirits,false,blog
Vaccines help the immune system recognize and fight infections,true,forum
Proper hydration helps maintain body temperature,true,forum
Adequate sleep improves mental and physical health,true,comment
Diabetes can be permanently cured by herbal tea,false,tweet
Vaccines cause autism,false,news
Mental illness is caused by evil spirits,false,news
Wearing glasses permanently weakens eyesight,false,blog
Homeopathy can replace all modern medicines,false,comment
Fasting alone can cure chronic diseases,false,news
Smoking increases the risk of lung cancer,true,news
Homeopathy can replace all modern medicines,false,tweet
Detox drinks can remove all toxins instantly,false,news
Fasting alone can cure chronic diseases,false,forum
Vaccines cause autism,false,blog
Vaccination reduces the spread of infectious diseases,true,forum
You do not need sleep if you meditate daily,false,tweet
Homeopathy can replace all modern medicines,false,blog
Smoking increases the risk of lung cancer,true,tweet
Wearing glasses permanently weakens eyesight,false,forum
Cancer can be cured only through faith healing,false,tweet
Physical activity helps control body weight,true,news
Vaccines help the immune system recognize and fight infections,true,blog
Detox drinks can remove all toxins instantly,false,blog
